Domain,Category ,Definition ,Sub-category ,Definition ,Factor,Definition ,Source ,Type ,Qualitative,DHS,Pathways Survey,Second Domain ,Application (Geography),Alternative questions in DHS 7,Other Notes,Why does it impact vulnerability and overall health outcomes
Health mental models ,Health risk perception ,The participant’s pattern of assessing and responding to the risk of different types of illness experienced by herself and her children,Health risk perception ,NA,Risk assessment - antenatal,"The risk assessment pattern of the participant when it comes to illness during pregnancy between 
a) Normalization of symptoms 
b) Familiarity based home care 
c) Dependence on others 
d) Preference for traditional methods 
e) Preference for formal care ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Health risk perception ,The participant’s pattern of assessing and responding to the risk of different types of illness experienced by herself and her children,Health risk perception ,NA,Risk assessment - general,"The risk assessment pattern of the participant when it comes to general illness between 
a) Normalization of symptoms 
b) Familiarity based home care 
c) Dependence on others 
d) Preference for traditional methods 
e) Preference for formal care ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Perceived preparedness for health events,Measures psychological readiness for onset of critical life events impacting health,Perceived preparedness for health events,NA,Preparedness for menstruation,Whether the participant knew a lot around menstruation and felt comfortable and prepared when it happened ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Perceived preparedness for health events,Measures psychological readiness for onset of critical life events impacting health,Perceived preparedness for health events,NA,Preparedness for sexual debut,Whether the participant knew a lot around sexual debut and felt comfortable and prepared when it happened ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Perceived preparedness for health events,Measures psychological readiness for onset of critical life events impacting health,Perceived preparedness for health events,NA,Prepedness for pregnancy ,Whether the participant knew a lot around pregnancy and felt comfortable and prepared when it happened ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Trust on health providers,It speaks to the extent of trust that the participant has on clinical and community based health workers which would determine their preference for health services,Trust on health providers,NA,Trust in doctors,Whether the participant trusts doctors ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Trust on health providers,It speaks to the extent of trust that the participant has on clinical and community based health workers which would determine their preference for health services,Trust on health providers,NA,Trust in CHWs ,Whether the participant trusts CHWs,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Health mental models ,Health beliefs ,"Captures underlying perceptions and culturally shaped views about causes of illness, prevention, and treatment.",Health beliefs ,NA,Medication avoidance ,Whether the participant believes that medicines are harmful during pregnancy,,Qualitative,TRUE,FALSE,FALSE,,,,,
Health mental models ,Health beliefs ,"Captures underlying perceptions and culturally shaped views about causes of illness, prevention, and treatment.",Health beliefs ,NA,Institutional delivery avoidance ,Whether the participant believes that home deliveries are unnecessary for complications and hospital deliveries could lead to operations.,,Qualitative,TRUE,FALSE,FALSE,,,,,
Health mental models ,Nutrition ,Reflects the woman’s practices regarding nutrition for her children.,Child feeding practises ,Captures nutrition practices for children in the household,Diet diversity for child ,"Whether the participant has provided a nutritious and age appropriate diet to a child under the age of 2, on the previous day ",,,FALSE,TRUE,FALSE,,,,,
,,,,,,,,,FALSE,FALSE,FALSE,,,,,
,,,,,,,,,FALSE,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Primary Survey,Quantitative,,,,,,,,
